"","festival_dates","year","day_of_performance","artist","stage","headliner","genre","spotify_id","spotify_popularity"
"652","July 28, 2022 – July 31, 2022",2022,"Sunday","J-HOPE","Bud Light Seltzer",1,"k-pop, k-rap","0b1sIQumIAsNbqAoIClSpy",83
"653","July 28, 2022 – July 31, 2022",2022,"Sunday","GREEN DAY","T-Mobile",1,"punk, pop punk","7oPftvlwr6VrsViSDV7fJY",82
"654","July 28, 2022 – July 31, 2022",2022,"Sunday","THE KID LAROI","Bud Light Seltzer",NA,NA,"2tIP7SsRs7vjIcLrU85W8J",82
"655","July 28, 2022 – July 31, 2022",2022,"Sunday","DOMINIC FIKE","Discord",NA,NA,"6USv9qhCn6zfxlBQIYJ9qs",79
"656","July 28, 2022 – July 31, 2022",2022,"Sunday","MÅNESKIN","T-Mobile",NA,NA,"0lAWpj5szCSwM4rUMHYmrr",79
"657","July 28, 2022 – July 31, 2022",2022,"Sunday","DJO","Bud Light Seltzer",NA,"psychedelic pop","5p9HO3XC5P3BLxJs5Mtrhm",76
"658","July 28, 2022 – July 31, 2022",2022,"Sunday","PINKPANTHERESS","Discord",NA,"bedroom pop","78rUTD7y6Cy67W1RVzYs7t",76
"659","July 28, 2022 – July 31, 2022",2022,"Sunday","YOUNG NUDY","Discord",NA,NA,"5yPzzu25VzEk8qrGTLIrE1",70
"660","July 28, 2022 – July 31, 2022",2022,"Sunday","BEACH BUNNY","Coinbase",NA,NA,"2vnB6tuQMaQpORiRdvXF9H",68
"661","July 28, 2022 – July 31, 2022",2022,"Sunday","TEEZO TOUCHDOWN","Discord",NA,NA,"0fGcIStdT1OpFFhOC7Wp36",68
"662","July 28, 2022 – July 31, 2022",2022,"Sunday","POLO & PAN","Discord",NA,"french indie pop, french house","45yEuthJ9yq1rNXAOpBnqM",66
"663","July 28, 2022 – July 31, 2022",2022,"Sunday","ZOE WEES","T-Mobile",NA,NA,"03d2mJXSMtuPI0nIvLnhoS",65
"664","July 28, 2022 – July 31, 2022",2022,"Sunday","BANKS","Coinbase",NA,NA,"2xe8IXgCTpwHE3eA9hTs4n",63
"665","July 28, 2022 – July 31, 2022",2022,"Sunday","CHICAGO MADE SHOWCASE","Discord",NA,NA,"47UhY4DqayBiq2gp43WOcZ",62
"666","July 28, 2022 – July 31, 2022",2022,"Sunday","GOTH BABE","Coinbase",NA,NA,"7o96HO2zrujyATtVsqGhh3",61
"667","July 28, 2022 – July 31, 2022",2022,"Sunday","CLAIRE ROSINKRANZ","Discord",NA,NA,"3V0ZQW0dNuVaFtbVYgSI24",58
"668","July 28, 2022 – July 31, 2022",2022,"Sunday","LOCAL NATIVES","Tito's Handmade Vodka",NA,NA,"75dQReiBOHN37fQgWQrIAJ",57
"669","July 28, 2022 – July 31, 2022",2022,"Sunday","LØLØ","BMI",NA,NA,"5MjcGshMggPgIHinIUDaX0",54
"670","July 28, 2022 – July 31, 2022",2022,"Sunday","AUDREY NUNA","Coinbase",NA,"alternative r&b","0Wwji82sLA0Hcvtuak3omb",51
"671","July 28, 2022 – July 31, 2022",2022,"Sunday","KENNYHOOPLA","Discord",NA,"pop punk","5ObBtv5VunwwhQaXXnUrsM",49
"672","July 28, 2022 – July 31, 2022",2022,"Sunday","HORSEGIRL","Tito's Handmade Vodka",NA,NA,"2FDvUb4YgyUPpmnm1ILPra",48
"673","July 28, 2022 – July 31, 2022",2022,"Sunday","DYLAN","BMI",NA,NA,"4LOM7NzyrZvlGSYPFDsnTk",47
"674","July 28, 2022 – July 31, 2022",2022,"Sunday","ERICA BANKS","Bud Light Seltzer",NA,NA,"2SXhbucehn00OBVKhzxDyM",47
"675","July 28, 2022 – July 31, 2022",2022,"Sunday","DE'WAYNE","T-Mobile",NA,NA,"4lpKeKXJYkglSWyEmnOF7O",45
"676","July 28, 2022 – July 31, 2022",2022,"Sunday","PETER COTTONTALE","BMI",NA,"gospel r&b","4mkGZGaUTIpyG1LnZ6nNIi",43
"677","July 28, 2022 – July 31, 2022",2022,"Sunday","PORNO FOR PYROS","T-Mobile",NA,"funk rock, grunge","58etTNn7xmsQZhjnfjpAXL",43
"678","July 28, 2022 – July 31, 2022",2022,"Sunday","INDIA SHAWN","BMI",NA,"alternative r&b","7g0SC4F149FUX5rKFuSpqL",39
"679","July 28, 2022 – July 31, 2022",2022,"Sunday","LOW CUT CONNIE","Coinbase",NA,NA,"4taNHtYxfIWIHu07FBw7ih",35
"680","July 28, 2022 – July 31, 2022",2022,"Sunday","LUCILLE CROFT","Tito's Handmade Vodka",NA,NA,"270fGluVXrZVyTNECXbrsy",34
"681","July 28, 2022 – July 31, 2022",2022,"Sunday","BLACKSTARKIDS","Discord",NA,NA,"7but14WsfXJkF8hm07xx6E",29
"682","July 28, 2022 – July 31, 2022",2022,"Sunday","BUFFALO NICHOLS","BMI",NA,"modern blues, blues","5dT9JLuBwGNiHJQsY29Qmh",27
"683","July 28, 2022 – July 31, 2022",2022,"Sunday","TRELLA","BMI",NA,NA,"5Y1nnOZLnndPKyRaEJcf3H",0
"684","July 29, 2021 – August 1, 2021",2021,"Thursday","PLAYBOI CARTI","T-Mobile",NA,"rage rap","699OTQXzgjhIYAHMy9RyPD",95
"685","July 29, 2021 – August 1, 2021",2021,"Thursday","MILEY CYRUS","T-Mobile",1,NA,"5YGY8feqx7naU7z4HrwZM6",84
"686","July 29, 2021 – August 1, 2021",2021,"Thursday","FLO MILLI","Grubhub",NA,NA,"08PvCOlef4xdOr20jFSTPd",73
"687","July 29, 2021 – August 1, 2021",2021,"Thursday","KAYTRANADA","Bud Light Seltzer",NA,NA,"6qgnBH6iDM91ipVXv28OMu",73
"688","July 29, 2021 – August 1, 2021",2021,"Thursday","KIM PETRAS","Lakeshore",NA,NA,"3Xt3RrJMFv5SZkCfUE8C1J",73
"689","July 29, 2021 – August 1, 2021",2021,"Thursday","LUNAY","Grubhub",NA,"reggaeton","47MpMsUfWtgyIIBEFOr4FE",73
"690","July 29, 2021 – August 1, 2021",2021,"Thursday","STEVE AOKI","Solana x Perry's",NA,"electro house, edm","77AiFEVeAVj2ORpC85QVJs",73
"691","July 29, 2021 – August 1, 2021",2021,"Thursday","ILLENIUM","Bud Light Seltzer",1,"melodic bass, future bass, edm","45eNHdiiabvmbp4erw26rg",72
"692","July 29, 2021 – August 1, 2021",2021,"Thursday","ALL TIME LOW","Tito's Homemade Vodka",NA,"pop punk, emo, emo pop, punk","46gyXjRIvN1NL1eCB8GBxo",71
"693","July 29, 2021 – August 1, 2021",2021,"Thursday","ED MAVERICK","Tito's Homemade Vodka",NA,"mexican indie, latin folk","3JSSjGYcIkgsrz7892CelT",71
"694","July 29, 2021 – August 1, 2021",2021,"Thursday","OLIVER TREE","Grubhub",NA,NA,"6TLwD7HPWuiOzvXEa3oCNe",70
"695","July 29, 2021 – August 1, 2021",2021,"Thursday","ASHE","Grubhub",NA,NA,"6P5NO5hzJbuOqSdyPB7SJM",69
"696","July 29, 2021 – August 1, 2021",2021,"Thursday","JIMMY EAT WORLD","Bud Light Seltzer",NA,"emo, pop punk, emo pop","3Ayl7mCk0nScecqOzvNp6s",69
"697","July 29, 2021 – August 1, 2021",2021,"Thursday","SAINT JHN","Lakeshore",NA,NA,"0H39MdGGX6dbnnQPt6NQkZ",69
"698","July 29, 2021 – August 1, 2021",2021,"Thursday","LP","Tito's Homemade Vodka",NA,NA,"0J7U24vlOOIeMpuaO6Q85A",68
"699","July 29, 2021 – August 1, 2021",2021,"Thursday","NIGHT LOVELL","Grubhub",NA,"dark trap, emo rap, horrorcore","2y246nnP9pQT0E6v3ZMMOO",67
"700","July 29, 2021 – August 1, 2021",2021,"Thursday","MAX","Lakeshore",NA,NA,"1bqxdqvUtPWZri43cKHac8",66
"701","July 29, 2021 – August 1, 2021",2021,"Thursday","DAYGLOW","Lakeshore",NA,"indie rock","6eJa3zG1QZLRB3xgRuyxbm",65
"702","July 29, 2021 – August 1, 2021",2021,"Thursday","BLACK PUMAS","T-Mobile",NA,"retro soul","6eU0jV2eEZ8XTM7EmlguK6",64
"703","July 29, 2021 – August 1, 2021",2021,"Thursday","OLIVIA O'BRIEN","Bud Light Seltzer",NA,NA,"1QRj3hoop9Mv5VvHQkwPEp",64
"704","July 29, 2021 – August 1, 2021",2021,"Thursday","CASH CASH","Solana x Perry's",NA,"edm","1LOB7jTeEV14pHai6EXSzF",61
"705","July 29, 2021 – August 1, 2021",2021,"Thursday","ALMOST MONDAY","Grubhub",NA,NA,"42FzVuyJH8YbkhzWSR2n8E",59
"706","July 29, 2021 – August 1, 2021",2021,"Thursday","ORVILLE PECK","T-Mobile",NA,"alt country","46auOkH1pk28rWrSoUNhLo",58
"707","July 29, 2021 – August 1, 2021",2021,"Thursday","PARIS TEXAS","Grubhub",NA,"alternative hip hop, experimental hip hop","1SCrMreNPJYSRZIlRe9SUq",58
"708","July 29, 2021 – August 1, 2021",2021,"Thursday","ALY & AJ","T-Mobile",NA,NA,"5wugb0kaq0J6nyQ5Xgd17i",56
"709","July 29, 2021 – August 1, 2021",2021,"Thursday","TCHAMI","Solana x Perry's",NA,"future house, bass house, g-house, house","1KpCi9BOfviCVhmpI4G2sY",56
"710","July 29, 2021 – August 1, 2021",2021,"Thursday","CHRISTIAN FRENCH","Lakeshore",NA,NA,"7naAJDAh7AZnf18YYfQruM",54
"711","July 29, 2021 – August 1, 2021",2021,"Thursday","DOMBRESKY","Solana x Perry's",NA,"bass house, tech house, house, g-house, latin house","2GVtgxcx7jg5xVCZsIHSGN",52
"712","July 29, 2021 – August 1, 2021",2021,"Thursday","ABSOFACTO","BMI",NA,NA,"7gAYvcQFmAruyvwGjxrSUr",50
"713","July 29, 2021 – August 1, 2021",2021,"Thursday","ANT CLEMONS","Bud Light Seltzer",NA,NA,"028lPW2NdWHdSPCkRkcyhd",49
"714","July 29, 2021 – August 1, 2021",2021,"Thursday","JUSTIN JAY","Solana x Perry's",NA,NA,"5k5eiijuHxrGwXp2Pz37GZ",48
"715","July 29, 2021 – August 1, 2021",2021,"Thursday","SEBASTIAN PAUL","Tito's Homemade Vodka",NA,NA,"1tQu5TjcAK68fx8qrc8ZgF",48
"716","July 29, 2021 – August 1, 2021",2021,"Thursday","MOTHERFOLK","BMI",NA,NA,"70fUpxdAr6t0LJw3xJmMhm",39
"717","July 29, 2021 – August 1, 2021",2021,"Thursday","POST ANIMAL","Tito's Homemade Vodka",NA,"psychedelic rock, psychedelic pop","4iaDWP59Z3e62DW7YWDbIE",38
"718","July 29, 2021 – August 1, 2021",2021,"Thursday","MIGRANT MOTEL","BMI",NA,NA,"0T63uYYYnOxOXV7bDF0K0G",32
"719","July 29, 2021 – August 1, 2021",2021,"Thursday","SAYMYNAME","Solana x Perry's",NA,"dubstep, edm trap, bass house","1PP0a3KRZiaqtahgtJ3bdv",32
"720","July 29, 2021 – August 1, 2021",2021,"Thursday","BLOSSOM","Solana x Perry's",NA,"bass house, g-house, bassline, drum and bass, liquid funk","0FhgVFxDmcXH3blEWtt13V",31
"721","July 29, 2021 – August 1, 2021",2021,"Thursday","JULIAN LAMADRID","BMI",NA,NA,"60rE8L4eGCSSaJCS1kqNKy",28
"722","July 29, 2021 – August 1, 2021",2021,"Thursday","HOKO","BMI",NA,NA,"7DBibsUWd2RMKmXbple4xZ",25
"723","July 29, 2021 – August 1, 2021",2021,"Thursday","TAYLOR JANZEN","BMI",NA,NA,"3rTVTBOBT7NPgXtI5oWyxc",19
"724","July 29, 2021 – August 1, 2021",2021,"Thursday","TRISTAN SIMONE","Grubhub",NA,"emo rap","2QCVnFr5nFsG5ZhJTTyubR",5
"725","July 29, 2021 – August 1, 2021",2021,"Thursday","CLEVER","Grubhub",NA,NA,"5XQalaQbs47vaiAKP2DdH6",0
"726","July 29, 2021 – August 1, 2021",2021,"Thursday","DJ MEL","Solana x Perry's",NA,NA,"2VAK3OAV6FwD1y2wsGBPIw",0
"727","July 29, 2021 – August 1, 2021",2021,"Friday","TYLER, THE CREATOR","T-Mobile",1,NA,"4V8LLVI7PbaPR0K2TGSxFF",91
"728","July 29, 2021 – August 1, 2021",2021,"Friday","SA-ROC","BMI",NA,"rap","13ubrt8QOOCPljQ2FL1Kca",86
"729","July 29, 2021 – August 1, 2021",2021,"Friday","SUICIDEBOYS","Solana x Perry's",NA,"dark trap, emo rap, horrorcore, punk rap, cloud rap, underground hip hop","1VPmR4DJC1PlOtd0IADAO0",85
"730","July 29, 2021 – August 1, 2021",2021,"Friday","MARSHMELLO","Bud Light Seltzer",1,"edm","64KEffDW9EtZ1y2vBYgq8T",83
"731","July 29, 2021 – August 1, 2021",2021,"Friday","JACK HARLOW","Lakeshore",NA,NA,"2LIk90788K0zvyj2JJVwkJ",81
"732","July 29, 2021 – August 1, 2021",2021,"Friday","GIVEON","T-Mobile",NA,"r&b","4fxd5Ee7UefO4CUXgwJ7IP",80
"733","July 29, 2021 – August 1, 2021",2021,"Friday","POLO G","Bud Light Seltzer",NA,NA,"6AgTAQt8XS6jRWi4sX7w49",79
"734","July 29, 2021 – August 1, 2021",2021,"Friday","RODDY RICCH","T-Mobile",1,"melodic rap","757aE44tKEUQEqRuT6GnEB",78
"735","July 29, 2021 – August 1, 2021",2021,"Friday","LAUV","Bud Light Seltzer",NA,NA,"5JZ7CnR6gTvEMKX4g70Amv",77
"736","July 29, 2021 – August 1, 2021",2021,"Friday","OMAR APOLLO","Grubhub",NA,"bedroom pop","5FxD8fkQZ6KcsSYupDVoSO",70
"737","July 29, 2021 – August 1, 2021",2021,"Friday","SUBTRONICS","Solana x Perry's",NA,"riddim, dubstep, edm, deathstep, bass music, dub","3NJ94iuAmmMjbszODYT6pO",65
"738","July 29, 2021 – August 1, 2021",2021,"Friday","JAWNY","Grubhub",NA,"bedroom pop","25pd339V2rRJo84USlcSRP",64
"739","July 29, 2021 – August 1, 2021",2021,"Friday","TAI VERDES","Bud Light Seltzer",NA,NA,"2kCO8LXN1usaOPL3iEE28I",63
"740","July 29, 2021 – August 1, 2021",2021,"Friday","ARIZONA ZERVAS","Tito's Homemade Vodka",NA,NA,"0vRvGUQVUjytro0xpb26bs",62
"741","July 29, 2021 – August 1, 2021",2021,"Friday","JACOB BANKS","Lakeshore",NA,NA,"0AepkoQhYvkjEzzwIcGxdV",61
"742","July 29, 2021 – August 1, 2021",2021,"Friday","EMOTIONAL ORANGES","Grubhub",NA,"indie r&b","12trz2INGglrKMzLmg0y2C",59
"743","July 29, 2021 – August 1, 2021",2021,"Friday","KENNY MASON","BMI",NA,NA,"4mwdnO2jZrMmMVrjcHsZBv",59
"744","July 29, 2021 – August 1, 2021",2021,"Friday","WOOLI","Solana x Perry's",NA,"melodic bass, dubstep, riddim, edm, deathstep, future bass, bass music","1Uyqa2sdHm1bL5JK4IC4zc",59
"745","July 29, 2021 – August 1, 2021",2021,"Friday","BOY PABLO","Grubhub",NA,"bedroom pop","7wbkl3zgDZEoZer357mVIw",58
"746","July 29, 2021 – August 1, 2021",2021,"Friday","DABIN","Solana x Perry's",NA,"melodic bass, future bass, edm, chillstep","7lZauDnRoAC3kmaYae2opv",58
"747","July 29, 2021 – August 1, 2021",2021,"Friday","GUS DAPPERTON","T-Mobile",NA,"bedroom pop","6sHCvZe1PHrOAuYlwTLNH4",58
"748","July 29, 2021 – August 1, 2021",2021,"Friday","MICK JENKINS","Bud Light Seltzer",NA,"jazz rap","1FvjvACFvko2Z91IvDljrx",58
"749","July 29, 2021 – August 1, 2021",2021,"Friday","TOBI LOU","Lakeshore",NA,NA,"4T8NIfZmVY6TJFqVzN6X49",55
"750","July 29, 2021 – August 1, 2021",2021,"Friday","MOTHICA","BMI",NA,NA,"1JhiIIXT9DWqEU3BYFZwGA",54
"751","July 29, 2021 – August 1, 2021",2021,"Friday","CAM","Tito's Homemade Vodka",NA,"k-rap","2YkhzcYyxJvtl5W6pY0PuF",51
"752","July 29, 2021 – August 1, 2021",2021,"Friday","NJOMZA","Grubhub",NA,NA,"3zOUpziwcfY2bCh4VyJ4Am",51
"753","July 29, 2021 – August 1, 2021",2021,"Friday","BLACK PISTOL FIRE","Tito's Homemade Vodka",NA,"blues rock, modern blues, roots rock, garage rock","0Nrwy16xCPXG8AwkMbcVvo",50
"754","July 29, 2021 – August 1, 2021",2021,"Friday","LEVEL UP","Solana x Perry's",NA,"riddim, dubstep, deathstep, edm","1ZpDxqXS6HAvoZyCzQfKRb",48
"755","July 29, 2021 – August 1, 2021",2021,"Friday","RIOT TEN","Solana x Perry's",NA,"dubstep, riddim, deathstep, bass music, edm","2Zxy5LwBatI5kw4uponwHQ",48
"756","July 29, 2021 – August 1, 2021",2021,"Friday","AG CLUB","Grubhub",NA,"alternative hip hop","22KyrgRdE2K6aB5wtZls3c",45
"757","July 29, 2021 – August 1, 2021",2021,"Friday","RENFORSHORT","Grubhub",NA,NA,"3GYvf7puxwkr51EYoD9E7D",45
"758","July 29, 2021 – August 1, 2021",2021,"Friday","OSTON","Lakeshore",NA,NA,"4PR77KtW5drJXCsqcyfuzJ",43
"759","July 29, 2021 – August 1, 2021",2021,"Friday","WHITE REAPER","Lakeshore",NA,"garage rock","75klPfIVnyYcyEGaicRUSF",42
"760","July 29, 2021 – August 1, 2021",2021,"Friday","JAKE WESLEY ROGERS","BMI",NA,NA,"5lEF4Tt1uK7Kuk80ILMlE9",40
"761","July 29, 2021 – August 1, 2021",2021,"Friday","MOB RICH","Grubhub",NA,NA,"5cVeSOiS002MF1uiUFOPV5",37
"762","July 29, 2021 – August 1, 2021",2021,"Friday","CONTRADASH","BMI",NA,NA,"1pVa1yITCEfqfAvQaaHvAt",33
"763","July 29, 2021 – August 1, 2021",2021,"Friday","BROWNIES & LEMONADE ALL-STARS","Tito's Homemade Vodka",NA,"post-disco, quiet storm","01QifrMKfKYrfMWuog70z6",30
"764","July 29, 2021 – August 1, 2021",2021,"Friday","ELEPHANT HEART","BMI",NA,NA,"2nwPBvsuf070C7KYSWoXbD",29
"765","July 29, 2021 – August 1, 2021",2021,"Friday","CHOMPPA","Solana x Perry's",NA,"bass music, dubstep, riddim","13tSVD5PqlwYL3Ay7kiujU",21
"766","July 29, 2021 – August 1, 2021",2021,"Friday","ROOKIE","Tito's Homemade Vodka",NA,NA,"5RK3ubgRUSpRlRkkT8gurm",9
"767","July 29, 2021 – August 1, 2021",2021,"Friday","JAUZ","Solana x Perry's",NA,NA,"5pzqxek11nSUythmdLZnW7",3
"768","July 29, 2021 – August 1, 2021",2021,"Friday","ELOHIM","Grubhub",NA,NA,"7zQ5YZmi36gAiKxLmuHMhZ",0
"769","July 29, 2021 – August 1, 2021",2021,"Friday","GRANDSON","T-Mobile",NA,NA,"1hPiFqCe2Kv5L8kSee7BDF",0
"770","July 29, 2021 – August 1, 2021",2021,"Saturday","TATE MCRAE","Grubhub",NA,NA,"45dkTj5sMRSjrmBSBeiHym",91
"771","July 29, 2021 – August 1, 2021",2021,"Saturday","POST MALONE","T-Mobile",1,NA,"246dkjvS1zLTtiykXe5h60",89
"772","July 29, 2021 – August 1, 2021",2021,"Saturday","GLOVE","Grubhub",NA,NA,"73sIBHcqh3Z3NyqHKZ7FOL",81
"773","July 29, 2021 – August 1, 2021",2021,"Saturday","TRIPPIE REDD","Bud Light Seltzer",NA,"melodic rap","6Xgp2XMz1fhVYe7i6yNAax",81
"774","July 29, 2021 – August 1, 2021",2021,"Saturday","MEGAN THEE STALLION","T-Mobile",1,NA,"181bsRPaVXVlUKXrxwZfHK",80
"775","July 29, 2021 – August 1, 2021",2021,"Saturday","LIMP BIZKIT","Bud Light Seltzer",NA,"nu metal, rap metal, alternative metal, rap rock","165ZgPlLkK7bf5bDoFc6Sb",79
"776","July 29, 2021 – August 1, 2021",2021,"Saturday","JOURNEY","Bud Light Seltzer",1,"album rock, classic rock","0rvjqX7ttXeg3mTy8Xscbt",76
"777","July 29, 2021 – August 1, 2021",2021,"Saturday","VINTAGE CULTURE","Solana x Perry's",NA,"brazilian bass, electronic, electro","28uJnu5EsrGml2tBd7y8ts",74
"778","July 29, 2021 – August 1, 2021",2021,"Saturday","MT. JOY","Tito's Homemade Vodka",NA,NA,"69tiO1fG8VWduDl3ji2qhI",71
"779","July 29, 2021 – August 1, 2021",2021,"Saturday","CAVETOWN","Grubhub",NA,"bedroom pop","2hR4h1Cao2ueuI7Cx9c7V8",70
"780","July 29, 2021 – August 1, 2021",2021,"Saturday","IANN DIOR","Grubhub",NA,"melodic rap","6ASri4ePR7RlsvIQgWPJpS",70
"781","July 29, 2021 – August 1, 2021",2021,"Saturday","THE BACKSEAT LOVERS","T-Mobile",NA,NA,"6p2HnfM955TI1bX34dkLnI",69
"782","July 29, 2021 – August 1, 2021",2021,"Saturday","FREDDIE GIBBS","Lakeshore",NA,"alternative hip hop","0Y4inQK6OespitzD6ijMwb",68
"783","July 29, 2021 – August 1, 2021",2021,"Saturday","OLIVER HELDENS","Solana x Perry's",NA,"future house, house","5nki7yRhxgM509M5ADlN1p",68
"784","July 29, 2021 – August 1, 2021",2021,"Saturday","YOUNG THE GIANT","T-Mobile",NA,NA,"4j56EQDQu5XnL7R3E9iFJT",68
"785","July 29, 2021 – August 1, 2021",2021,"Saturday","BIA","Grubhub",NA,NA,"6veh5zbFpm31XsPdjBgPER",67
"786","July 29, 2021 – August 1, 2021",2021,"Saturday","SLANDER","Solana x Perry's",NA,"melodic bass, edm, future bass, dubstep","20DZAfCuP1TKZl5KcY7z3Q",65
"787","July 29, 2021 – August 1, 2021",2021,"Saturday","TREVOR DANIEL","Bud Light Seltzer",NA,NA,"7uaIm6Pw7xplS8Dy06V6pT",64
"788","July 29, 2021 – August 1, 2021",2021,"Saturday","CANNONS","T-Mobile",NA,NA,"7FtCyCJCJaxabYO7Uyda5B",61
"789","July 29, 2021 – August 1, 2021",2021,"Saturday","JOY OLADOKUN","BMI",NA,NA,"7rrTqtOUOwva4sgTx9C9F9",59
"790","July 29, 2021 – August 1, 2021",2021,"Saturday","DRAMA","Grubhub",NA,NA,"7LvvNoUPwTZpgXDWBRrfHg",58
"791","July 29, 2021 – August 1, 2021",2021,"Saturday","KOOZE","Solana x Perry's",NA,"deep house","12nEr6QOfSKkiTXjEp8tBB",58
"792","July 29, 2021 – August 1, 2021",2021,"Saturday","ANGELS & AIRWAVES","Lakeshore",NA,"pop punk","7xklw3WodFZiNNmQt3DIgp",57
"793","July 29, 2021 – August 1, 2021",2021,"Saturday","CAUTIOUS CLAY","Lakeshore",NA,NA,"6iWuBN32BqCJAeXW6o3nil",55
"794","July 29, 2021 – August 1, 2021",2021,"Saturday","JAC ROSS","Lakeshore",NA,NA,"172Nbc7kz4JhcCor54l9Sr",54
"795","July 29, 2021 – August 1, 2021",2021,"Saturday","JESSIA","Bud Light Seltzer",NA,NA,"6DdbeAeBlrYj8bNToZv4TY",53
"796","July 29, 2021 – August 1, 2021",2021,"Saturday","SERENA ISIOMA","BMI",NA,"alternative r&b","6u6AbTVrbabv27DLcSrF8i",52
"797","July 29, 2021 – August 1, 2021",2021,"Saturday","LOST KINGS","Solana x Perry's",NA,NA,"3hyEbRtp617pNCuuQjyOmc",51
"798","July 29, 2021 – August 1, 2021",2021,"Saturday","CID","Solana x Perry's",NA,"tech house, future house","4FCzCS0KEgb0rgySWINItO",50
"799","July 29, 2021 – August 1, 2021",2021,"Saturday","MARC REBILLET","Grubhub",NA,NA,"72udTJKu1pGovvS9aCYGMI",50
"800","July 29, 2021 – August 1, 2021",2021,"Saturday","WHITNEY","Tito's Homemade Vodka",NA,NA,"32aUoW94mJ7xTJI7fG0V1G",50
"801","July 29, 2021 – August 1, 2021",2021,"Saturday","MONOPHONICS","Lakeshore",NA,"retro soul","6LXZac7iBIZgnNrywTkQRw",49
"802","July 29, 2021 – August 1, 2021",2021,"Saturday","KID QUILL","BMI",NA,NA,"5vGXVYudNgm9E7jhXMM0Ro",47
"803","July 29, 2021 – August 1, 2021",2021,"Saturday","LAUNDRY DAY","Grubhub",NA,"bedroom pop","0SwK6bwzmGkViNoxSbJ5Mk",46
"804","July 29, 2021 – August 1, 2021",2021,"Saturday","MICHIGANDER","Grubhub",NA,NA,"0oL26Dn9y761yfJgNb3vfu",46
"805","July 29, 2021 – August 1, 2021",2021,"Saturday","PORCHES","Tito's Homemade Vodka",NA,NA,"2JzhQYGos3RqV7MT5fWeek",42
"806","July 29, 2021 – August 1, 2021",2021,"Saturday","VNSSA","Solana x Perry's",NA,"tech house, bass house","6fjbZ7zQBYEy3kvB5JL5PM",37
"807","July 29, 2021 – August 1, 2021",2021,"Saturday","SOPHIE CATES","BMI",NA,"bedroom pop","4xjJOu0MWVWuaDVZOy0Dx2",34
"808","July 29, 2021 – August 1, 2021",2021,"Saturday","WENZDAY","Solana x Perry's",NA,"bass house, g-house","1TOclxL64oLeB45DFWFFU2",32
"809","July 29, 2021 – August 1, 2021",2021,"Saturday","DANTE ELEPHANTE","Tito's Homemade Vodka",NA,NA,"3RdlkFPALHduIIZSinXgJZ",25
"810","July 29, 2021 – August 1, 2021",2021,"Saturday","JAKE DUBY","Tito's Homemade Vodka",NA,NA,"0YaAdRRY6VABRNgGniK7NN",1
"811","July 29, 2021 – August 1, 2021",2021,"Saturday","PHEM","BMI",NA,NA,"0BMnBygB6YAoapBQV8NayK",0
"812","July 29, 2021 – August 1, 2021",2021,"Saturday","RENCE","BMI",NA,NA,"5swvsRRZiv75D5NmRffxlb",0
"813","July 29, 2021 – August 1, 2021",2021,"Sunday","YOUNG THUG","Bud Light Seltzer",1,"rap, melodic rap, trap","50co4Is1HCEo8bhOyUWKpn",86
"814","July 29, 2021 – August 1, 2021",2021,"Sunday","FOO FIGHTERS","T-Mobile",1,"rock, post-grunge, alternative rock, grunge, modern rock","7jy3rLJdDQY21OgRLCZ9sD",78
"815","July 29, 2021 – August 1, 2021",2021,"Sunday","MUSIC IN THE KEY OF CHICAGO","Bud Light Seltzer",NA,"soft rock","3iDD7bnsjL9J4fO298r0L0",71
"816","July 29, 2021 – August 1, 2021",2021,"Sunday","G HERBO","T-Mobile",NA,"drill","5QdEbQJ3ylBnc3gsIASAT5",70
"817","July 29, 2021 – August 1, 2021",2021,"Sunday","ELDERBROOK","Grubhub",NA,NA,"2vf4pRsEY6LpL5tKmqWb64",69
"818","July 29, 2021 – August 1, 2021",2021,"Sunday","JPEGMAFIA","Grubhub",NA,"experimental hip hop, alternative hip hop, experimental","6yJ6QQ3Y5l0s0tn7b0arrO",68
"819","July 29, 2021 – August 1, 2021",2021,"Sunday","SURFACES","Tito's Homemade Vodka",NA,NA,"4ETSs924pXMzjIeD6E9b4u",66
"820","July 29, 2021 – August 1, 2021",2021,"Sunday","BROCKHAMPTON","Bud Light Seltzer",NA,NA,"1Bl6wpkWCQ4KVgnASpvzzA",65
"821","July 29, 2021 – August 1, 2021",2021,"Sunday","EARTHGANG","Grubhub",NA,NA,"5MbNzCW3qokGyoo9giHA3V",64
"822","July 29, 2021 – August 1, 2021",2021,"Sunday","MODEST MOUSE","T-Mobile",NA,"indie rock, indie, alternative rock","1yAwtBaoHLEDWAnWR87hBT",64
"823","July 29, 2021 – August 1, 2021",2021,"Sunday","RICO NASTY","Grubhub",NA,NA,"2OaHYHb2XcFPvqL3VsyPzU",64
"824","July 29, 2021 – August 1, 2021",2021,"Sunday","MXMTOON","Grubhub",NA,"bedroom pop, indie pop","0HthCchcL0kVLHTr113Vk1",63
"825","July 29, 2021 – August 1, 2021",2021,"Sunday","YELLOW CLAW","Solana x Perry's",NA,"edm, edm trap","47z7ZrgFoBvVpCnElCE3Zh",63
"826","July 29, 2021 – August 1, 2021",2021,"Sunday","LP GIOBBI","Solana x Perry's",NA,"house","3oKnyRhYWzNsTiss5n4Z1J",61
